PC1,PC2,PC3,PC4,PC5
0.78598744,0.28352976,0.15850341,-0.5292734,0.30234873
-0.7500545,0.85734785,0.9529612,-0.62740844,-0.1252265
-0.71127844,0.82812226,0.9447699,-0.69936574,-0.09302437
-0.68599576,0.7824193,0.9187929,-0.7596282,-0.035943985
-0.6390077,0.7467109,0.8760725,-0.7863296,-0.02139759
-0.6168862,0.7175218,0.8432224,-0.80573606,0.021914959
-0.5762711,0.68219244,0.8072472,-0.8130535,0.04524505
-0.56587404,0.6648828,0.76718867,-0.8129628,0.059179068
-0.6039488,0.6616243,0.76934624,-0.82235855,0.13463414
-0.5900404,0.6507486,0.78618574,-0.81933486,0.17819095
-0.5573046,0.6416882,0.78784156,-0.8112701,0.20549417
-0.5498761,0.64781487,0.7830219,-0.79413813,0.20982313
-0.55246633,0.66500056,0.79187894,-0.77402365,0.21181071
-0.5504853,0.689921,0.81209195,-0.75162643,0.17384958
-0.5514121,0.71825707,0.83774483,-0.73317826,0.13646543
-0.596203,0.7584764,0.8504214,-0.72308385,0.12970126
-0.6277935,0.79301465,0.84477234,-0.7125596,0.07255125
-0.63540155,0.81106913,0.82524204,-0.7047582,0.0041493177
-0.6369998,0.8312837,0.80366933,-0.69233364,-0.042240262
-0.6321494,0.8391267,0.78071344,-0.6838521,-0.063928366
-0.6472003,0.82098305,0.7813411,-0.7067648,-0.096934676
-0.6449265,0.81930315,0.770815,-0.7046908,-0.044131875
-0.6198571,0.81595623,0.7616785,-0.70244914,-0.005265236
-0.58363265,0.8012954,0.7419627,-0.69956106,-0.017697453
